user_id,RFM Score,Segment
216,333,Potential Loyalist
218,455,Champions
219,554,Champions
220,555,Champions
221,434,Need Attention
223,113,Cannot Lose Them
225,345,Loyal
226,215,Cannot Lose Them
227,535,Need Attention
228,132,Hibernating customers
229,343,Need Attention
230,212,Hibernating customers
231,453,Potential Loyalist
232,112,Lost customers
233,134,At Risk
235,544,Champions
237,234,At Risk
239,433,Potential Loyalist
240,533,Potential Loyalist
241,334,Need Attention
242,131,Lost customers
243,344,Loyal
245,111,Lost customers
246,215,Cannot Lose Them
247,544,Champions
248,214,Cannot Lose Them
249,231,About To Sleep
249,231,Hibernating customers
250,331,About To Sleep
251,432,Potential Loyalist
252,532,Potential Loyalist
253,543,Loyal
254,215,Cannot Lose Them
256,113,Cannot Lose Them
257,532,Potential Loyalist
258,334,Need Attention
259,111,Lost customers
260,455,Champions
261,234,At Risk
262,311,New Customers
263,242,At Risk
264,212,Hibernating customers
265,113,Cannot Lose Them
266,533,Potential Loyalist
267,553,Potential Loyalist
269,342,Potential Loyalist
272,412,New Customers
273,343,Need Attention
278,535,Need Attention
279,243,At Risk
280,112,Lost customers
281,233,Hibernating customers
282,241,About To Sleep
282,241,Hibernating customers
285,132,Hibernating customers
286,311,New Customers
287,112,Lost customers
288,245,At Risk
289,112,Lost customers
291,535,Need Attention
292,412,New Customers
293,512,New Customers
295,453,Potential Loyalist
297,555,Champions
298,314,Promising
301,433,Potential Loyalist
302,311,New Customers
303,112,Lost customers
305,114,Cannot Lose Them
306,311,New Customers
308,333,Potential Loyalist
309,333,Potential Loyalist
310,342,Potential Loyalist
311,112,Lost customers
312,212,Hibernating customers
314,211,Hibernating customers
315,434,Need Attention
316,231,About To Sleep
316,231,Hibernating customers
317,415,Promising
318,414,Promising
319,531,Potential Loyalist
320,214,Cannot Lose Them
322,543,Loyal
323,111,Lost customers
324,432,Potential Loyalist
325,331,About To Sleep
326,111,Lost customers
327,114,Cannot Lose Them
328,432,Potential Loyalist
329,554,Champions
330,212,Hibernating customers
331,434,Need Attention
332,215,Cannot Lose Them
333,445,Champions
334,413,Promising
335,334,Need Attention
336,132,Hibernating customers
337,452,Potential Loyalist
338,312,About To Sleep
340,114,Cannot Lose Them
344,213,About To Sleep
345,433,Potential Loyalist
347,533,Potential Loyalist
349,412,New Customers
350,535,Need Attention
352,243,At Risk
353,413,Promising
355,112,Lost customers
356,413,Promising
357,341,Potential Loyalist
358,335,Loyal
359,543,Loyal
360,411,New Customers
361,242,At Risk
362,312,About To Sleep
363,431,Potential Loyalist
365,212,Hibernating customers
366,232,Hibernating customers
367,311,New Customers
368,111,Lost customers
370,541,Potential Loyalist
372,233,Hibernating customers
373,235,At Risk
374,334,Need Attention
376,113,Cannot Lose Them
377,545,Champions
378,434,Need Attention
380,433,Potential Loyalist
381,113,Cannot Lose Them
382,113,Cannot Lose Them
383,455,Champions
384,543,Loyal
385,445,Champions
387,231,About To Sleep
387,231,Hibernating customers
390,135,At Risk
391,245,At Risk
394,114,Cannot Lose Them
395,112,Lost customers
396,532,Potential Loyalist
397,545,Champions
398,511,New Customers
399,553,Potential Loyalist
401,115,Cannot Lose Them
402,441,Potential Loyalist
403,131,Lost customers
404,311,New Customers
405,315,Promising
406,535,Need Attention
408,311,New Customers
409,311,New Customers
410,351,Potential Loyalist
411,535,Need Attention
412,112,Lost customers
413,411,New Customers
415,114,Cannot Lose Them
416,532,Potential Loyalist
417,212,Hibernating customers
419,511,New Customers
420,544,Champions
421,313,Promising
422,112,Lost customers
423,443,Need Attention
424,541,Potential Loyalist
426,332,Hibernating customers
427,212,Hibernating customers
428,215,Cannot Lose Them
429,415,Promising
430,312,About To Sleep
431,134,At Risk
432,131,Lost customers
433,111,Lost customers
434,344,Loyal
435,333,Potential Loyalist
436,113,Cannot Lose Them
438,211,Hibernating customers
439,515,Promising
440,445,Champions
441,311,New Customers
442,532,Potential Loyalist
443,213,About To Sleep
444,411,New Customers
446,553,Potential Loyalist
447,544,Champions
448,444,Loyal
449,115,Cannot Lose Them
450,455,Champions
452,411,New Customers
453,231,About To Sleep
453,231,Hibernating customers
454,214,Cannot Lose Them
455,442,Potential Loyalist
456,113,Cannot Lose Them
457,531,Potential Loyalist
458,553,Potential Loyalist
460,215,Cannot Lose Them
461,112,Lost customers
462,431,Potential Loyalist
463,245,At Risk
464,331,About To Sleep
465,313,Promising
466,112,Lost customers
467,535,Need Attention
468,532,Potential Loyalist
469,435,Loyal
470,142,At Risk
472,111,Lost customers
473,115,Cannot Lose Them
474,533,Potential Loyalist
476,111,Lost customers
477,434,Need Attention
478,211,Hibernating customers
479,352,Potential Loyalist
481,331,About To Sleep
482,335,Loyal
483,114,Cannot Lose Them
484,113,Cannot Lose Them
485,413,Promising
486,332,Hibernating customers
487,544,Champions
489,445,Champions
491,311,New Customers
492,313,Promising
493,253,At Risk
495,235,At Risk
496,431,Potential Loyalist
497,311,New Customers
498,314,Promising
500,531,Potential Loyalist
501,535,Need Attention
502,545,Champions
503,442,Potential Loyalist
504,445,Champions
506,112,Lost customers
507,113,Cannot Lose Them
508,543,Loyal
509,211,Hibernating customers
510,251,About To Sleep
510,251,Hibernating customers
513,113,Cannot Lose Them
514,311,New Customers
515,414,Promising
516,344,Loyal
517,312,About To Sleep
518,412,New Customers
519,514,Promising
520,352,Potential Loyalist
521,234,At Risk
522,533,Potential Loyalist
523,414,Promising
524,142,At Risk
525,411,New Customers
526,543,Loyal
527,552,Potential Loyalist
528,544,Champions
529,135,At Risk
532,235,At Risk
533,442,Potential Loyalist
534,544,Champions
536,115,Cannot Lose Them
537,515,Promising
538,432,Potential Loyalist
539,444,Loyal
540,111,Lost customers
541,332,Hibernating customers
544,415,Promising
545,135,At Risk
548,232,Hibernating customers
549,514,Promising
550,442,Potential Loyalist
551,115,Cannot Lose Them
552,135,At Risk
553,111,Lost customers
554,242,At Risk
555,211,Hibernating customers
556,115,Cannot Lose Them
557,314,Promising
560,342,Potential Loyalist
562,332,Hibernating customers
563,555,Champions
565,411,New Customers
566,112,Lost customers
567,113,Cannot Lose Them
568,543,Loyal
569,131,Lost customers
570,215,Cannot Lose Them
571,315,Promising
572,544,Champions
573,313,Promising
574,415,Promising
575,412,New Customers
576,434,Need Attention
577,431,Potential Loyalist
580,311,New Customers
581,131,Lost customers
582,534,Need Attention
583,411,New Customers
585,432,Potential Loyalist
586,444,Loyal
589,242,At Risk
590,544,Champions
591,312,About To Sleep
593,131,Lost customers
594,114,Cannot Lose Them
595,315,Promising
596,442,Potential Loyalist
597,532,Potential Loyalist
598,113,Cannot Lose Them
599,514,Promising
600,334,Need Attention
601,535,Need Attention
602,544,Champions
603,313,Promising
604,411,New Customers
605,543,Loyal
608,115,Cannot Lose Them
609,311,New Customers
610,451,Potential Loyalist
611,113,Cannot Lose Them
612,111,Lost customers
613,115,Cannot Lose Them
614,113,Cannot Lose Them
615,544,Champions
616,541,Potential Loyalist
618,311,New Customers
619,511,New Customers
620,214,Cannot Lose Them
621,515,Promising
622,444,Loyal
623,331,About To Sleep
624,213,About To Sleep
625,441,Potential Loyalist
626,341,Potential Loyalist
627,211,Hibernating customers
629,511,New Customers
630,243,At Risk
631,315,Promising
632,242,At Risk
633,212,Hibernating customers
634,132,Hibernating customers
636,131,Lost customers
637,434,Need Attention
639,555,Champions
640,131,Lost customers
642,213,About To Sleep
643,544,Champions
644,445,Champions
647,335,Loyal
648,115,Cannot Lose Them
649,131,Lost customers
651,243,At Risk
652,515,Promising
653,313,Promising
655,451,Potential Loyalist
656,312,About To Sleep
657,333,Potential Loyalist
659,212,Hibernating customers
660,331,About To Sleep
661,233,Hibernating customers
663,111,Lost customers
664,414,Promising
665,315,Promising
667,214,Cannot Lose Them
668,333,Potential Loyalist
670,533,Potential Loyalist
671,111,Lost customers
674,112,Lost customers
675,352,Potential Loyalist
676,533,Potential Loyalist
677,431,Potential Loyalist
678,533,Potential Loyalist
680,541,Potential Loyalist
682,334,Need Attention
683,312,About To Sleep
685,113,Cannot Lose Them
686,515,Promising
687,312,About To Sleep
688,331,About To Sleep
689,444,Loyal
692,342,Potential Loyalist
693,542,Potential Loyalist
694,355,Loyal
695,235,At Risk
696,241,About To Sleep
696,241,Hibernating customers
698,432,Potential Loyalist
699,111,Lost customers
700,432,Potential Loyalist
702,334,Need Attention
703,542,Potential Loyalist
704,432,Potential Loyalist
707,332,Hibernating customers
708,332,Hibernating customers
709,414,Promising
710,435,Loyal
711,232,Hibernating customers
712,455,Champions
713,444,Loyal
714,553,Potential Loyalist
715,311,New Customers
716,142,At Risk
717,113,Cannot Lose Them
718,312,About To Sleep
719,315,Promising
720,341,Potential Loyalist
721,331,About To Sleep
722,331,About To Sleep
723,455,Champions
724,245,At Risk
725,211,Hibernating customers
726,214,Cannot Lose Them
727,112,Lost customers
728,312,About To Sleep
729,412,New Customers
730,331,About To Sleep
731,213,About To Sleep
732,515,Promising
733,332,Hibernating customers
734,513,Promising
735,533,Potential Loyalist
736,233,Hibernating customers
737,235,At Risk
739,412,New Customers
740,111,Lost customers
743,335,Loyal
744,552,Potential Loyalist
746,534,Need Attention
747,435,Loyal
748,111,Lost customers
749,113,Cannot Lose Them
750,443,Need Attention
751,212,Hibernating customers
752,435,Loyal
753,111,Lost customers
754,414,Promising
756,514,Promising
757,333,Potential Loyalist
758,515,Promising
759,244,At Risk
760,312,About To Sleep
761,313,Promising
762,232,Hibernating customers
763,534,Need Attention
764,212,Hibernating customers
766,533,Potential Loyalist
768,544,Champions
769,344,Loyal
772,113,Cannot Lose Them
773,545,Champions
774,111,Lost customers
775,333,Potential Loyalist
777,145,At Risk
778,452,Potential Loyalist
780,115,Cannot Lose Them
781,535,Need Attention
782,214,Cannot Lose Them
783,231,About To Sleep
783,231,Hibernating customers
784,231,About To Sleep
784,231,Hibernating customers
785,233,Hibernating customers
786,531,Potential Loyalist
787,133,At Risk
788,345,Loyal
790,231,About To Sleep
790,231,Hibernating customers
792,533,Potential Loyalist
793,215,Cannot Lose Them
794,531,Potential Loyalist
795,111,Lost customers
796,343,Need Attention
797,315,Promising
798,441,Potential Loyalist
799,433,Potential Loyalist
801,411,New Customers
802,515,Promising
803,135,At Risk
804,235,At Risk
805,113,Cannot Lose Them
806,315,Promising
807,515,Promising
809,333,Potential Loyalist
810,414,Promising
811,235,At Risk
812,212,Hibernating customers
813,112,Lost customers
814,411,New Customers
815,213,About To Sleep
816,411,New Customers
817,443,Need Attention
818,514,Promising
819,434,Need Attention
820,431,Potential Loyalist
821,235,At Risk
824,111,Lost customers
825,115,Cannot Lose Them
826,112,Lost customers
827,411,New Customers
828,514,Promising
829,435,Loyal
830,531,Potential Loyalist
832,113,Cannot Lose Them
835,214,Cannot Lose Them
836,515,Promising
837,314,Promising
839,115,Cannot Lose Them
840,534,Need Attention
842,445,Champions
843,111,Lost customers
844,413,Promising
846,132,Hibernating customers
848,245,At Risk
849,213,About To Sleep
851,112,Lost customers
852,554,Champions
853,531,Potential Loyalist
854,532,Potential Loyalist
855,234,At Risk
856,434,Need Attention
857,212,Hibernating customers
858,114,Cannot Lose Them
860,432,Potential Loyalist
863,431,Potential Loyalist
864,154,Cannot Lose Them
866,111,Lost customers
867,453,Potential Loyalist
868,243,At Risk
869,211,Hibernating customers
870,313,Promising
871,511,New Customers
872,232,Hibernating customers
875,432,Potential Loyalist
876,335,Loyal
877,531,Potential Loyalist
878,534,Need Attention
879,314,Promising
880,415,Promising
881,345,Loyal
882,211,Hibernating customers
883,312,About To Sleep
885,432,Potential Loyalist
887,554,Champions
888,414,Promising
889,435,Loyal
890,535,Need Attention
892,234,At Risk
894,312,About To Sleep
896,433,Potential Loyalist
897,354,Loyal
898,233,Hibernating customers
899,532,Potential Loyalist
900,451,Potential Loyalist
902,114,Cannot Lose Them
904,111,Lost customers
905,335,Loyal
906,135,At Risk
907,231,About To Sleep
907,231,Hibernating customers
909,345,Loyal
911,213,About To Sleep
912,455,Champions
913,243,At Risk
914,552,Potential Loyalist
915,214,Cannot Lose Them
916,443,Need Attention
917,155,Cannot Lose Them
919,433,Potential Loyalist
920,541,Potential Loyalist
922,355,Loyal
923,214,Cannot Lose Them
925,311,New Customers
926,111,Lost customers
927,111,Lost customers
928,433,Potential Loyalist
929,413,Promising
930,415,Promising
931,315,Promising
933,231,About To Sleep
933,231,Hibernating customers
934,334,Need Attention
935,432,Potential Loyalist
936,315,Promising
937,235,At Risk
939,415,Promising
942,112,Lost customers
944,335,Loyal
945,234,At Risk
947,215,Cannot Lose Them
948,342,Potential Loyalist
950,412,New Customers
951,132,Hibernating customers
952,515,Promising
954,535,Need Attention
956,315,Promising
957,312,About To Sleep
959,414,Promising
960,211,Hibernating customers
961,113,Cannot Lose Them
962,111,Lost customers
963,211,Hibernating customers
964,333,Potential Loyalist
965,211,Hibernating customers
966,414,Promising
967,311,New Customers
968,311,New Customers
970,411,New Customers
971,334,Need Attention
972,435,Loyal
973,513,Promising
976,331,About To Sleep
977,455,Champions
978,441,Potential Loyalist
979,235,At Risk
980,112,Lost customers
981,544,Champions
982,115,Cannot Lose Them
983,412,New Customers
984,113,Cannot Lose Them
985,313,Promising
986,552,Potential Loyalist
987,432,Potential Loyalist
989,534,Need Attention
990,444,Loyal
991,441,Potential Loyalist
992,354,Loyal
993,213,About To Sleep
994,115,Cannot Lose Them
995,555,Champions
996,414,Promising
997,333,Potential Loyalist
998,131,Lost customers
999,215,Cannot Lose Them
1000,343,Need Attention
1001,111,Lost customers
1002,114,Cannot Lose Them
1003,235,At Risk
1004,415,Promising
1005,311,New Customers
1006,552,Potential Loyalist
1007,115,Cannot Lose Them
1008,211,Hibernating customers
1009,544,Champions
1010,111,Lost customers
1011,342,Potential Loyalist
1012,532,Potential Loyalist
1013,231,About To Sleep
1013,231,Hibernating customers
1015,314,Promising
1016,414,Promising
1017,111,Lost customers
1018,532,Potential Loyalist
1019,232,Hibernating customers
1020,145,At Risk
1021,211,Hibernating customers
1022,334,Need Attention
1023,342,Potential Loyalist
1024,544,Champions
1025,113,Cannot Lose Them
1027,244,At Risk
1028,445,Champions
1029,542,Potential Loyalist
1030,114,Cannot Lose Them
1031,215,Cannot Lose Them
1032,213,About To Sleep
1033,541,Potential Loyalist
1034,514,Promising
1035,513,Promising
1036,411,New Customers
1038,233,Hibernating customers
1040,313,Promising
1041,333,Potential Loyalist
1042,333,Potential Loyalist
1043,113,Cannot Lose Them
1046,232,Hibernating customers
1048,333,Potential Loyalist
1049,345,Loyal
1050,332,Hibernating customers
1051,244,At Risk
1054,331,About To Sleep
1056,242,At Risk
1057,132,Hibernating customers
1058,312,About To Sleep
1059,114,Cannot Lose Them
1061,445,Champions
1062,155,Cannot Lose Them
1064,334,Need Attention
1065,345,Loyal
1066,211,Hibernating customers
1067,343,Need Attention
1068,312,About To Sleep
1070,445,Champions
1072,414,Promising
1073,112,Lost customers
1074,545,Champions
1075,545,Champions
1077,344,Loyal
1078,232,Hibernating customers
1079,235,At Risk
1080,231,About To Sleep
1080,231,Hibernating customers
1081,334,Need Attention
1082,111,Lost customers
1083,214,Cannot Lose Them
1085,533,Potential Loyalist
1086,332,Hibernating customers
1087,232,Hibernating customers
1089,311,New Customers
1090,553,Potential Loyalist
1092,444,Loyal
1093,211,Hibernating customers
1094,135,At Risk
1095,114,Cannot Lose Them
1096,545,Champions
1098,113,Cannot Lose Them
1099,414,Promising
1102,235,At Risk
1103,142,At Risk
1104,115,Cannot Lose Them
1105,244,At Risk
1106,441,Potential Loyalist
1108,344,Loyal
1109,114,Cannot Lose Them
1110,444,Loyal
1112,542,Potential Loyalist
1113,544,Champions
1116,215,Cannot Lose Them
1118,131,Lost customers
1120,114,Cannot Lose Them
1121,232,Hibernating customers
1122,111,Lost customers
1123,534,Need Attention
1124,112,Lost customers
1127,414,Promising
1128,412,New Customers
1129,234,At Risk
1130,431,Potential Loyalist
1132,335,Loyal
1133,453,Potential Loyalist
1134,113,Cannot Lose Them
1135,455,Champions
1136,115,Cannot Lose Them
1137,111,Lost customers
1138,434,Need Attention
1139,431,Potential Loyalist
1140,542,Potential Loyalist
1141,113,Cannot Lose Them
1142,345,Loyal
1143,114,Cannot Lose Them
1144,534,Need Attention
1145,534,Need Attention
1146,211,Hibernating customers
1147,442,Potential Loyalist
1148,335,Loyal
1151,245,At Risk
1152,214,Cannot Lose Them
1153,131,Lost customers
1154,234,At Risk
1155,515,Promising
1156,115,Cannot Lose Them
1157,334,Need Attention
1159,145,At Risk
1160,244,At Risk
1161,354,Loyal
1162,343,Need Attention
1163,212,Hibernating customers
1165,313,Promising
1167,414,Promising
1168,111,Lost customers
1169,111,Lost customers
1170,315,Promising
1171,331,About To Sleep
1172,313,Promising
1173,335,Loyal
1174,113,Cannot Lose Them
1176,113,Cannot Lose Them
1177,131,Lost customers
1178,453,Potential Loyalist
1179,532,Potential Loyalist
1182,112,Lost customers
1183,452,Potential Loyalist
1184,541,Potential Loyalist
1186,412,New Customers
1187,441,Potential Loyalist
1188,232,Hibernating customers
1189,544,Champions
1190,531,Potential Loyalist
1191,112,Lost customers
1193,533,Potential Loyalist
1195,113,Cannot Lose Them
1196,241,About To Sleep
1196,241,Hibernating customers
1197,532,Potential Loyalist
1198,314,Promising
1199,415,Promising
1200,114,Cannot Lose Them
1201,545,Champions
1202,432,Potential Loyalist
1203,234,At Risk
1204,112,Lost customers
1205,344,Loyal
1206,433,Potential Loyalist
1207,113,Cannot Lose Them
1208,435,Loyal
1209,532,Potential Loyalist
1210,311,New Customers
1211,233,Hibernating customers
1214,444,Loyal
1215,451,Potential Loyalist
1216,113,Cannot Lose Them
1217,313,Promising
1218,131,Lost customers
1219,535,Need Attention
1220,111,Lost customers
1221,353,Potential Loyalist
1222,253,At Risk
1223,433,Potential Loyalist
1224,453,Potential Loyalist
1226,311,New Customers
1227,233,Hibernating customers
1228,132,Hibernating customers
1229,111,Lost customers
1231,333,Potential Loyalist
1232,315,Promising
1233,212,Hibernating customers
1234,315,Promising
1235,335,Loyal
1236,211,Hibernating customers
1237,543,Loyal
1238,534,Need Attention
1239,534,Need Attention
1240,133,At Risk
1241,331,About To Sleep
1242,332,Hibernating customers
1243,331,About To Sleep
1244,513,Promising
1246,111,Lost customers
1247,514,Promising
1248,541,Potential Loyalist
1249,335,Loyal
1250,214,Cannot Lose Them
1251,235,At Risk
1252,313,Promising
1253,335,Loyal
1255,211,Hibernating customers
1256,315,Promising
1257,113,Cannot Lose Them
1258,232,Hibernating customers
1259,435,Loyal
1260,111,Lost customers
1261,554,Champions
1262,542,Potential Loyalist
1263,542,Potential Loyalist
1264,511,New Customers
1265,555,Champions
1266,331,About To Sleep
1268,215,Cannot Lose Them
1269,545,Champions
1270,114,Cannot Lose Them
1272,535,Need Attention
1273,212,Hibernating customers
1274,534,Need Attention
1275,114,Cannot Lose Them
1276,415,Promising
1278,531,Potential Loyalist
1279,212,Hibernating customers
1281,434,Need Attention
1283,333,Potential Loyalist
1284,554,Champions
1285,335,Loyal
1286,335,Loyal
1288,114,Cannot Lose Them
1291,543,Loyal
1292,415,Promising
1293,232,Hibernating customers
1294,433,Potential Loyalist
1295,115,Cannot Lose Them
1296,215,Cannot Lose Them
1297,453,Potential Loyalist
1298,335,Loyal
1299,514,Promising
1300,344,Loyal
1301,111,Lost customers
1302,331,About To Sleep
1304,233,Hibernating customers
1305,331,About To Sleep
1306,513,Promising
1307,233,Hibernating customers
1308,115,Cannot Lose Them
1309,235,At Risk
1310,411,New Customers
1311,433,Potential Loyalist
1313,115,Cannot Lose Them
1315,544,Champions
1317,453,Potential Loyalist
1318,313,Promising
1319,213,About To Sleep
1320,111,Lost customers
1321,233,Hibernating customers
1322,112,Lost customers
1323,234,At Risk
1325,145,At Risk
1326,413,Promising
1327,132,Hibernating customers
1329,534,Need Attention
1330,111,Lost customers
1331,342,Potential Loyalist
1332,245,At Risk
1333,211,Hibernating customers
1334,135,At Risk
1336,215,Cannot Lose Them
1337,413,Promising
1338,443,Need Attention
1339,414,Promising
1340,335,Loyal
1341,434,Need Attention
1342,311,New Customers
1343,535,Need Attention
1344,213,About To Sleep
1346,334,Need Attention
1347,231,About To Sleep
1347,231,Hibernating customers
1348,434,Need Attention
1350,334,Need Attention
1352,211,Hibernating customers
1353,345,Loyal
1354,313,Promising
1355,211,Hibernating customers
1356,113,Cannot Lose Them
1358,335,Loyal
1362,351,Potential Loyalist
1363,554,Champions
1366,215,Cannot Lose Them
1367,551,Potential Loyalist
1368,312,About To Sleep
1369,211,Hibernating customers
1370,113,Cannot Lose Them
1371,315,Promising
1372,312,About To Sleep
1373,444,Loyal
1374,454,Champions
1375,253,At Risk
1376,235,At Risk
1377,113,Cannot Lose Them
1378,313,Promising
1379,413,Promising
1380,212,Hibernating customers
1381,534,Need Attention
1382,554,Champions
1384,112,Lost customers
1385,244,At Risk
1387,414,Promising
1388,333,Potential Loyalist
1389,315,Promising
1391,415,Promising
1392,433,Potential Loyalist
1393,311,New Customers
1394,413,Promising
1395,212,Hibernating customers
1398,114,Cannot Lose Them
1400,345,Loyal
1401,242,At Risk
1402,442,Potential Loyalist
1403,235,At Risk
1404,114,Cannot Lose Them
1405,511,New Customers
1406,111,Lost customers
1407,232,Hibernating customers
1408,531,Potential Loyalist
1409,212,Hibernating customers
1410,552,Potential Loyalist
1411,143,At Risk
1412,314,Promising
1413,543,Loyal
1414,431,Potential Loyalist
1415,442,Potential Loyalist
1416,111,Lost customers
1417,212,Hibernating customers
1418,432,Potential Loyalist
1419,543,Loyal
1422,115,Cannot Lose Them
1425,435,Loyal
1426,332,Hibernating customers
1427,551,Potential Loyalist
1428,534,Need Attention
1429,113,Cannot Lose Them
1430,213,About To Sleep
1431,115,Cannot Lose Them
1432,444,Loyal
1433,111,Lost customers
1434,214,Cannot Lose Them
1437,215,Cannot Lose Them
1441,332,Hibernating customers
1442,554,Champions
1443,314,Promising
1444,115,Cannot Lose Them
1445,431,Potential Loyalist
1446,431,Potential Loyalist
1447,442,Potential Loyalist
1448,534,Need Attention
1450,215,Cannot Lose Them
1451,444,Loyal
1452,341,Potential Loyalist
1453,433,Potential Loyalist
1454,111,Lost customers
1455,544,Champions
1456,534,Need Attention
1458,535,Need Attention
1459,311,New Customers
1460,211,Hibernating customers
1462,111,Lost customers
1464,554,Champions
1465,313,Promising
1466,334,Need Attention
1469,212,Hibernating customers
1470,211,Hibernating customers
1471,544,Champions
1472,512,New Customers
1473,315,Promising
1475,411,New Customers
1478,534,Need Attention
1479,333,Potential Loyalist
1480,333,Potential Loyalist
1482,353,Potential Loyalist
1483,512,New Customers
1484,311,New Customers
1485,333,Potential Loyalist
1486,341,Potential Loyalist
1487,514,Promising
1488,134,At Risk
1489,114,Cannot Lose Them
1491,432,Potential Loyalist
1493,212,Hibernating customers
1494,443,Need Attention
1495,314,Promising
1496,545,Champions
1497,411,New Customers
1498,411,New Customers
1499,554,Champions
1500,432,Potential Loyalist
1501,334,Need Attention
1503,554,Champions
1505,112,Lost customers
1507,314,Promising
1508,414,Promising
1510,333,Potential Loyalist
1512,255,At Risk
1513,335,Loyal
1515,133,At Risk
1516,535,Need Attention
1518,132,Hibernating customers
1519,312,About To Sleep
1520,545,Champions
1521,545,Champions
1522,342,Potential Loyalist
1523,313,Promising
1524,115,Cannot Lose Them
1525,135,At Risk
1526,111,Lost customers
1527,544,Champions
1528,411,New Customers
1529,211,Hibernating customers
1531,533,Potential Loyalist
1532,215,Cannot Lose Them
1534,343,Need Attention
1535,513,Promising
1536,412,New Customers
1537,215,Cannot Lose Them
1538,532,Potential Loyalist
1542,211,Hibernating customers
1543,115,Cannot Lose Them
1544,331,About To Sleep
1545,532,Potential Loyalist
1547,345,Loyal
1548,213,About To Sleep
1549,345,Loyal
1550,315,Promising
1552,332,Hibernating customers
1553,532,Potential Loyalist
1554,435,Loyal
1555,311,New Customers
1556,553,Potential Loyalist
1558,215,Cannot Lose Them
1559,133,At Risk
1560,533,Potential Loyalist
1562,443,Need Attention
1563,112,Lost customers
1564,334,Need Attention
1565,345,Loyal
1566,445,Champions
1567,432,Potential Loyalist
1569,433,Potential Loyalist
